Price,Close,High,Low,Open,Volume
Ticker,BKNG,BKNG,BKNG,BKNG,BKNG
Date,,,,,
2020-01-02,2052.14404296875,2054.9432730466146,2031.0149394623718,2046.030704154924,329000
2020-01-03,2043.1422119140625,2045.3282725492581,2012.9918665692066,2020.381050976529,294000
2020-01-06,2025.2574462890625,2037.5134632506526,2012.991527817203,2027.829303206519,384000
2020-01-07,2045.6842041015625,2050.4125376509855,2016.4933434284226,2025.2476070271666,345300
2020-01-08,2040.589599609375,2066.0710143662654,2034.891884461864,2044.4871719726045,325800
2020-01-09,2061.748779296875,2067.396987930074,2049.591655019671,2049.591655019671,273800
2020-01-10,2064.330322265625,2071.3536331903047,2054.478077148947,2065.7846369065855,198500
2020-01-13,2057.999755859375,2067.6443113122127,2050.590768561258,2067.6443113122127,254900
2020-01-14,2049.0771484375,2063.4401355273476,2044.8038011503686,2052.1635218949477,331700
2020-01-15,2042.8253173828125,2061.4517492133414,2039.0861689019487,2051.1346167292627,309000
2020-01-16,2032.5283203125,2050.590851996557,2018.8973190711645,2050.590851996557,546800
2020-01-17,2032.46875,2041.7177276256803,2024.772981408723,2037.7213810344808,470800
2020-01-21,1969.042236328125,1992.7233916744153,1942.6310410504457,1984.3054163647212,711700
2020-01-22,1979.1417236328125,1992.4561159697032,1970.4962558234033,1982.6532581640206,357300
2020-01-23,1971.6436767578125,1984.6910909092671,1953.7592537673718,1964.7589871586404,368500
2020-01-24,1941.7308349609375,1979.1715893257503,1933.5997620433266,1976.3919211062694,580400
2020-01-27,1888.24560546875,1897.1581730942373,1847.837417311373,1885.7924456817373,708900
2020-01-28,1896.712890625,1916.071310334966,1879.451659212809,1893.963047862147,512500
2020-01-29,1873.467041015625,1912.1343728784216,1869.6488010824733,1903.2317071249215,445200
2020-01-30,1851.843505859375,1865.1184134130754,1838.7566062653345,1851.1808291203818,588900
2020-01-31,1810.7529296875,1845.750305222205,1800.752161532958,1845.750305222205,717800
2020-02-03,1819.14111328125,1838.0642291766987,1810.2582503551828,1818.9828098543555,634600
2020-02-04,1844.3455810546875,1875.0004186508033,1828.1922313110376,1836.9762001176293,662600
2020-02-05,1918.3167724609375,1922.9559925261412,1862.348603353645,1878.165663123063,552300
2020-02-06,1939.693115234375,1950.6730458556447,1916.0614683582069,1937.7147450053124,412000
2020-02-07,1888.93798828125,1938.8028442225427,1883.5667806747306,1929.138486235146,449500
2020-02-10,1866.2362060546875,1891.9055112990845,1862.6355577726943,1881.1233694752802,470200
2020-02-11,1888.6512451171875,1898.1374968450293,1872.151583773168,1873.9914536523336,408900
2020-02-12,1939.1590576171875,1945.7272617452265,1890.5405815531892,1903.1427911685382,473200
2020-02-13,1938.743408203125,1939.6733049973964,1908.2369731944887,1922.97585549621,388800
2020-02-14,1969.427978515625,2002.9811814373563,1963.1961846760378,1976.8270639331793,535900
2020-02-18,1954.9068603515625,1966.6879685668214,1940.7317598492805,1950.9204152106472,363500
2020-02-19,1947.2010498046875,1968.4685303499232,1941.0977340107256,1961.3167410958965,241300
2020-02-20,1949.5947265625,1966.2624703840606,1935.2317404206735,1938.8026839352533,359200
2020-02-21,1907.861083984375,1946.8151986014611,1901.3720924269787,1943.7487488982647,358500
2020-02-24,1773.154052734375,1815.6494097036275,1758.65256409118,1811.1288865316778,886000
2020-02-25,1707.9072265625,1791.7209844637082,1692.505667143819,1783.500798033504,958300
2020-02-26,1660.0504150390625,1724.0902498532348,1641.691202057727,1712.4970292620994,903300
2020-02-27,1641.89892578125,1711.2902873037385,1575.2278233859784,1595.5358232321073,1338000
2020-02-28,1677.321533203125,1699.4198931137892,1616.862548587778,1625.8641082720574,977000
2020-03-02,1710.2813720703125,1714.1788244670213,1633.8965215010394,1691.2593603914597,869200
2020-03-03,1664.8184814453125,1731.064184784876,1629.118821669952,1707.9568331858115,704300
2020-03-04,1713.397216796875,1718.1057476007736,1653.1657206994373,1678.7955408200073,593500
2020-03-05,1629.623046875,1661.8705778081473,1614.9237707457225,1645.0049235148933,788800
2020-03-06,1594.6553955078125,1665.787730816059,1566.8692194849389,1585.7527294880117,1077500
2020-03-09,1511.277099609375,1571.4887940287465,1460.5417553261475,1467.9408408259928,770300
2020-03-10,1542.1395263671875,1597.5338903675483,1483.7181980881728,1572.7547560280489,742000
2020-03-11,1426.8994140625,1511.9990316676929,1405.1967523383103,1505.8265267046527,829800
2020-03-12,1266.552734375,1355.1738012436967,1266.1570361511738,1282.9731842875567,1282100
2020-03-13,1405.9583740234375,1406.2947838877983,1257.1256268248144,1322.3426517104426,1153100
2020-03-16,1275.722412109375,1396.561178948135,1238.6773570625492,1261.2110229866094,986900
2020-03-17,1353.4625244140625,1355.6980925814805,1239.3600380201306,1295.3974026323647,1080100
2020-03-18,1220.4071044921875,1312.7376069604084,1152.4204325929602,1264.0400443115134,933400
2020-03-19,1178.59423828125,1223.2658710046333,1137.5628598394114,1198.0614540909953,980600
2020-03-20,1164.6961669921875,1285.8910137716487,1144.892663643801,1203.1852690402975,1146500
2020-03-23,1139.778564453125,1212.8793632915495,1095.3147450638185,1154.3591423290688,859900
2020-03-24,1245.8487548828125,1265.167566167176,1187.5956379912463,1205.4405733425083,854000
2020-03-25,1351.078369140625,1433.8039192581048,1233.4642431768877,1245.8488592564343,998700
2020-03-26,1390.794189453125,1414.0202352599601,1338.8817770074984,1365.4017655824657,616500
2020-03-27,1241.57568359375,1340.8007766805085,1240.0522999228003,1330.3253404403451,701500
2020-03-30,1294.0816650390625,1307.5939679518933,1203.8185204102385,1247.6295691939613,600800
2020-03-31,1330.7703857421875,1375.3530238138785,1281.9937334452934,1288.9180288338298,770300
2020-04-01,1257.87744140625,1313.9740892459529,1234.681099335116,1279.817619842617,562800
2020-04-02,1246.3731689453125,1320.5521465386425,1227.796244637668,1257.2245000155435,573800
2020-04-03,1217.370361328125,1265.3260352357845,1190.068756207309,1230.7243600610807,442300
2020-04-06,1342.0076904296875,1348.6054777461084,1278.828443118932,1289.1851821037312,751500
2020-04-07,1361.4847412109375,1478.8317787594976,1352.0083910752912,1396.7393139584715,783400
2020-04-08,1357.2213134765625,1413.2684521224967,1345.3015851851299,1367.6967494680798,780900
2020-04-09,1405.27587890625,1434.3183377939097,1387.826639948176,1409.3513165257007,1032800
2020-04-13,1405.6419677734375,1412.5662636663544,1353.5910511912584,1397.9064724558446,404400
2020-04-14,1433.74462890625,1454.06240758521,1408.5995016359336,1444.2991560380053,579000
2020-04-15,1409.202880859375,1424.426453066539,1375.629998668687,1392.6142284713508,452800
2020-04-16,1392.17919921875,1416.8593203218236,1375.9763416904173,1416.8593203218236,488400
2020-04-17,1454.962646484375,1468.6035473091276,1434.5062460026265,1453.1128752240677,691300
2020-04-20,1396.3634033203125,1454.1021342566758,1394.751026735995,1446.2381608102405,459200
2020-04-21,1327.7039794921875,1372.7317040063315,1303.1524587444312,1367.8550891438263,652700
2020-04-22,1340.3458251953125,1365.0655514553243,1327.4864187543242,1350.2475778148844,356600
2020-04-23,1345.291748046875,1373.9682146926575,1336.1813918343362,1339.4061449492242,372700
2020-04-24,1348.03173828125,1359.7139510042425,1324.182501067636,1357.5476936913492,334500
2020-04-27,1387.816650390625,1395.9774266224,1356.212238011255,1360.0601821426762,456900
2020-04-28,1423.75390625,1447.8208580484152,1395.5424474144922,1418.6892831501318,613500
2020-04-29,1504.0855712890625,1511.207655340642,1457.3663807524833,1471.7391477419962,703000
2020-04-30,1464.5577392578125,1503.976862331952,1448.9385885441916,1498.1505475676058,450900
2020-05-01,1433.1214599609375,1444.5069896475932,1400.0035635127492,1427.146743565819,458500
2020-05-04,1398.015380859375,1429.6889870274695,1373.4934430513233,1400.4190330851336,471400
2020-05-05,1378.1326904296875,1430.7178063462964,1368.893735020852,1427.6414550471588,425900
2020-05-06,1363.997314453125,1401.0422496255828,1341.3350490982186,1382.346626339894,526600
2020-05-07,1428.29443359375,1432.9237527020568,1367.0539441523958,1377.2029939477213,654800
2020-05-08,1415.355712890625,1428.6306207752873,1351.3257788903877,1425.4058675987608,877400
2020-05-11,1395.740234375,1413.5158623841364,1387.9454506315465,1411.5869996586562,564700
2020-05-12,1370.9315185546875,1398.6879909115748,1370.130220627798,1385.9373799124949,506900
2020-05-13,1351.2960205078125,1373.8989963766426,1321.8677641294962,1364.4225259501954,780900
2020-05-14,1367.5582275390625,1373.9186197644622,1289.1554111368996,1334.1534292172441,708700
2020-05-15,1369.3389892578125,1394.246604375036,1357.290660681349,1362.1178891713246,632600
2020-05-18,1540.5865478515625,1564.4555882835723,1414.5346419754035,1414.5346419754035,1322000
2020-05-19,1530.8233642578125,1581.5387833334535,1527.4601107393523,1539.458930933797,828400
2020-05-20,1581.8553466796875,1588.3740425544647,1561.1318467794026,1561.4484536254463,700000
2020-05-21,1578.4228515625,1605.8825174229517,1558.7479464548035,1587.642003085877,631900
2020-05-22,1613.6578369140625,1619.5830464987012,1567.5123239889197,1574.5256131245503,574600
2020-05-26,1728.017333984375,1745.8127638319158,1673.8099435490358,1685.8878546803778,1201000
2020-05-27,1680.3583984375,1768.6629723089889,1674.3045904092667,1756.7235611908552,1017900
2020-05-28,1631.1563720703125,1689.5281960444834,1626.2401509716915,1677.252374814707,664100
2020-05-29,1621.6898193359375,1639.0796492721702,1600.9268345250832,1639.0796492721702,688800
2020-06-01,1652.6612548828125,1665.9559658358346,1615.4580165894538,1615.4580165894538,490100
2020-06-02,1637.1014404296875,1673.750798921841,1635.6967540318963,1671.7229210430041,513600
2020-06-03,1707.3038330078125,1724.9805664836424,1675.9665156514563,1685.6011691754877,597500
2020-06-04,1723.7935791015625,1730.2628884530325,1687.5498216655749,1696.3535934198367,502400
2020-06-05,1793.0364990234375,1833.3358904468696,1783.3523382280948,1807.0037878433636,1034400
2020-06-08,1821.000732421875,1851.7247580983171,1805.8265464130018,1826.629137545342,672000
2020-06-09,1758.7413330078125,1798.674729069526,1750.85755705579,1788.5157791783397,450400
2020-06-10,1714.5645751953125,1773.6089790070987,1699.14309172274,1772.570286296581,536400
2020-06-11,1571.19189453125,1638.8422763773078,1559.5194623329478,1637.9420841479991,920100
2020-06-12,1606.357421875,1645.994013501266,1555.8297724922747,1635.6866618614952,489400
2020-06-15,1632.818115234375,1646.9239035802275,1538.1926403943482,1550.7058553140726,409800
2020-06-16,1655.6387939453125,1703.228478477516,1623.9947696888648,1697.758255450654,454600
2020-06-17,1620.5225830078125,1660.4262759949597,1608.4248685963125,1659.7735007712945,355000
2020-06-18,1610.7396240234375,1640.0689880379564,1573.724392779776,1604.8540206474834,546600
2020-06-19,1609.3150634765625,1639.564298459045,1582.6960603023174,1636.1120523375207,754200
2020-06-22,1615.853759765625,1618.5938219752568,1576.6325440729968,1592.330907711618,333900
2020-06-23,1658.9622802734375,1660.3471635411033,1622.263537806023,1634.430562639621,363300
2020-06-24,1592.9144287109375,1651.711654955976,1564.8908577684829,1642.749579820574,597300
2020-06-25,1597.9197998046875,1606.4069648465138,1544.8301898040545,1568.6597467967306,498600
2020-06-26,1524.58154296875,1594.2794868218637,1516.252560915216,1580.0254163999628,601700
2020-06-29,1575.989501953125,1578.0470843011517,1523.8198879193494,1550.814788724798,365800
2020-06-30,1575.1190185546875,1585.901160638558,1549.4794172251236,1566.770354004512,293600
2020-07-01,1640.8504638671875,1651.9391906928113,1583.8239161582133,1588.680849025918,538800
2020-07-02,1651.9193115234375,1695.5522517295883,1640.4645915525061,1671.8316123868558,360800
