ticker,sector,industry,marketCap,beta,dividendYield,trailingPE,forwardPE,earningsQuarterlyGrowth,fullTimeEmployees,country,website
AMZN,Consumer Cyclical,Internet Retail,2133790294016,1.308,,32.78793,32.6813,0.642,1560000,United States,https://www.aboutamazon.com
TSLA,Consumer Cyclical,Auto Manufacturers,1093000560640,2.434,,192.80682,104.734566,-0.706,125665,United States,https://www.tesla.com
HD,Consumer Cyclical,Home Improvement Retail,360507604992,1.056,2.54,24.623898,23.250639,-0.046,470000,United States,https://www.homedepot.com
MCD,Consumer Cyclical,Restaurants,224927940608,0.567,2.25,27.78887,24.946075,-0.032,150000,United States,https://www.mcdonalds.com
BKNG,Consumer Cyclical,Travel Services,173530906624,1.425,0.72,33.222027,25.412436,-0.571,24500,United States,https://www.bookingholdings.com
GM,Consumer Cyclical,Auto Manufacturers,46812270592,1.363,1.23,6.800279,4.6064334,-0.066,162000,United States,https://www.gm.com
LOW,Consumer Cyclical,Home Improvement Retail,123734204416,0.995,2.08,18.28536,17.503563,-0.065,300000,United States,https://www.lowes.com
NKE,Consumer Cyclical,Footwear & Accessories,88588918784,1.234,2.67,19.940199,18.582043,-0.323,79400,United States,https://www.nike.com
SBUX,Consumer Cyclical,Restaurants,95912165376,0.983,2.89,30.69091,22.688171,-0.503,361000,United States,https://www.starbucks.com
TGT,Consumer Defensive,Discount Stores,42842075136,1.265,4.75,10.361538,8.971456,0.1,440000,United States,https://target.com
DIS,Communication Services,Entertainment,197249138688,1.493,0.91,22.391836,21.304853,,177080,United States,https://thewaltdisneycompany.com
ABNB,Consumer Cyclical,Travel Services,78213234688,1.146,,32.162437,28.16,-0.417,7300,United States,https://www.airbnb.com
YUM,Consumer Cyclical,Restaurants,40430006272,0.769,1.95,28.974104,23.922697,-0.194,40000,United States,https://www.yum.com
ROST,Consumer Cyclical,Apparel Retail,45135749120,1.177,1.18,21.684044,20.517189,-0.018,107000,United States,https://www.rossstores.com
TJX,Consumer Cyclical,Apparel Retail,140342788096,0.937,1.35,29.57647,27.326086,-0.032,364000,United States,https://www.tjx.com
ULTA,Consumer Cyclical,Specialty Retail,18377000960,1.057,,16.050472,17.797989,-0.003,20000,United States,https://www.ulta.com
F,Consumer Cyclical,Auto Manufacturers,41197056000,1.547,7.24,8.288,5.9199996,-0.646,170000,United States,https://www.ford.com
EBAY,Consumer Cyclical,Internet Retail,33143900160,1.291,1.61,17.288462,13.777778,0.148,11500,United States,https://www.ebayinc.com
ETSY,Consumer Cyclical,Internet Retail,4963823104,1.779,,34.492752,18.307692,,2400,United States,https://www.etsy.com
BBY,Consumer Cyclical,Specialty Retail,14801084416,1.296,5.43,16.336447,10.222221,-0.746,85000,United States,https://bestbuy.com
