ticker,sector,industry,marketCap,beta,dividendYield,trailingPE,forwardPE,earningsQuarterlyGrowth,fullTimeEmployees,country,website
AAPL,Technology,Consumer Electronics,3007472730112,1.275,0.52,31.364485,24.231047,0.048,164000,United States,https://www.apple.com
MSFT,Technology,Software - Infrastructure,3380764999680,0.985,0.73,35.20588,30.425417,0.177,228000,United States,https://www.microsoft.com
AMD,Technology,Semiconductors,179505201152,1.968,,80.81022,21.707844,4.764,28000,United States,https://www.amd.com
ADBE,Technology,Software - Application,176587440128,1.551,,27.402777,20.162045,1.921,30709,United States,https://www.adobe.com
AVGO,Technology,Semiconductors,1083940536320,1.059,1.02,106.235016,37.363045,1.727,37000,United States,https://www.broadcom.com
INTC,Technology,Semiconductors,89639092224,1.144,,,21.185566,,108900,United States,https://www.intel.com
CRM,Technology,Software - Application,271934128128,1.421,0.59,44.63307,25.464512,0.181,76453,United States,https://www.salesforce.com
CSCO,Technology,Communication Equipment,250905608192,0.888,2.59,25.861225,16.246153,0.321,90400,United States,https://www.cisco.com
NVDA,Technology,Semiconductors,3239404896256,2.114,0.03,45.18027,32.24029,0.798,36000,United States,https://www.nvidia.com
ORCL,Technology,Software - Infrastructure,441133400064,1.276,1.27,36.927227,21.97067,0.223,159000,United States,https://www.oracle.com
QCOM,Technology,Semiconductors,161812250624,1.292,2.42,15.037754,12.049877,0.209,49000,United States,https://www.qualcomm.com
PLTR,Technology,Software - Infrastructure,288593379328,2.684,,531.6956,260.1915,1.028,4001,United States,https://www.palantir.com
IBM,Technology,Information Technology Services,240128294912,0.629,2.6,44.241436,24.351555,-0.343,270300,United States,https://www.ibm.com
NOW,Technology,Software - Application,210247139328,0.974,,136.89622,60.82455,0.326,26293,United States,https://www.servicenow.com
TXN,Technology,Semiconductors,163715743744,0.955,3.02,34.13068,30.64796,0.067,34000,United States,https://www.ti.com
CDNS,Technology,Software - Application,86453280768,1.045,,80.56743,46.22336,0.105,12837,United States,https://www.cadence.com
ASML,Technology,Semiconductor Equipment & Materials,295005257728,1.221,1.13,29.675482,27.741573,0.924,43129,Netherlands,https://www.asml.com
GFS,Technology,Semiconductors,20791431168,1.538,,,20.938547,0.579,13000,United States,https://gf.com
APP,Technology,Software - Application,118932881408,2.392,,63.6721,68.11434,1.441,1533,United States,https://www.applovin.com
ANSS,Technology,Software - Application,30212366336,1.214,,50.98665,31.212532,0.491,6600,United States,https://www.ansys.com
